index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
734,2014,"65,000 kms",First Owner,Diesel,Automatic,Hyderabad,18.5 Lakh*,BMW,18.88 kmpl,1995 CC,184bhp,4000rpm,5,White,8 Speed,RWD,,,,,,4,4,4,DOHC,CRDi
735,2010,"82,000 kms",First Owner,Diesel,Automatic,Hyderabad,18.5 Lakh*,Mercedes-Benz,11.5 kmpl,2987 CC,210bhp,4000rpm,5,Grey,7 Speed,RWD,,Ventilated Disc,Ventilated Disc,250km/hr,6.2 Seconds,4,6,4,,
736,2017,"1,16,000 kms",First Owner,Diesel,Automatic,Hyderabad,18.5 Lakh*,Toyota,11.36 kmpl,2755 CC,171.5bhp,3400rpm,7,White,6 Speed,RWD,,,,,,,4,4,DOHC,Direct Injection
737,2017,"42,560 kms",First Owner,Diesel,Automatic,Hyderabad,18.5 Lakh*,Toyota,11.36 kmpl,2755 CC,171.5bhp,3400rpm,7,Brown,6 Speed,RWD,,,,,,5,4,4,DOHC,Direct Injection
738,2021,"1,400 kms",First Owner,Petrol,Automatic,Hyderabad,18.6 Lakh*,Mahindra,0.0 kmpl,1997 CC,150bhp,5000rpm,4,Black,6 Speed,4X4,,,,,,3,4,4,DOHC,Direct Engine
739,2010,"1,30,000 kms",First Owner,Diesel,Automatic,Hyderabad,18.99 Lakh*,Audi,11.33 kmpl,4134 CC,335.2bhp,4000rpm,7,White,8 Speed,,,,Ventilated Disc,242km/hr,6.4 Seconds,5,8,4,DOHC,Direct Injection
740,2011,"32,000 kms",First Owner,Diesel,Automatic,Hyderabad,19 Lakh*,BMW,18.48 kmpl,,,,5,White,6 Speed,,Power,Ventilated discs,,,,,,,,
741,2020,"28,000 kms",First Owner,Petrol,Automatic,Hyderabad,19 Lakh*,MG,13.96 kmpl,1451 CC,141bhp,5000rpm,5,Red,6 Speed,FWD,,,,,,,4,4,,
742,2015,"75,163 kms",First Owner,Diesel,Automatic,Hyderabad,19.5 Lakh*,Mercedes-Benz,17.9 kmpl,2143 CC,136bhp,3600-4400rpm,5,Silver,7 Speed 7G-DCT,AWD,,,,,,5,4,4,DOHC,CRDi
743,2019,"59,000 kms",First Owner,Diesel,Manual,Hyderabad,19.85 Lakh*,Toyota,13.68 kmpl,2393 CC,147.8bhp,3400rpm,8,Brown,5 Speed,RWD,,,,,,5,7,4,DOHC,Direct Injection
744,2010,"84,000 kms",First Owner,Diesel,Automatic,Hyderabad,19.99 Lakh*,Mercedes-Benz,13.5 kmpl,2987 CC,282bhp,4000rpm,5,White,7 Speed,RWD,,,Disc,250 kmph,5.4 Seconds,4,6,4,DOHC,CRDI
745,2015,"45,000 kms",First Owner,Diesel,Automatic,Hyderabad,21 Lakh*,Audi,17.11 kmpl,1968 CC,174.33bhp,4200rpm,5,White,8 Speed,FWD,,,,,,4,4,4,DOHC,CRDI
746,2014,"69,000 kms",First Owner,Diesel,Automatic,Hyderabad,21 Lakh*,Mercedes-Benz,15.0 kmpl,2143 CC,204bhp,4200rpm,5,Black,7 Speed,RWD,,,,,,4,4,4,DOHC,CRDI
747,2014,"48,000 kms",First Owner,Diesel,Automatic,Hyderabad,21 Lakh*,Mercedes-Benz,17.9 kmpl,2143 CC,136bhp,3600-4400rpm,5,Brown,7 Speed 7G-DCT,AWD,,,,,,5,4,4,DOHC,CRDi
748,2014,"76,411 kms",First Owner,Diesel,Automatic,Hyderabad,21 Lakh*,Mercedes-Benz,17.9 kmpl,2143 CC,136bhp,3600-4400rpm,5,White,7 Speed 7G-DCT,AWD,,,,,,,4,4,DOHC,CRDi
749,2014,"71,000 kms",First Owner,Diesel,Automatic,Hyderabad,21.45 Lakh*,Jaguar,16.36 kmpl,2179 CC,187.7bhp,3500rpm,5,Violet,8 Speed,RWD,,,,,,4,4,4,DOHC,Direct Injection
750,2015,"48,000 kms",First Owner,Diesel,Automatic,Hyderabad,21.5 Lakh*,Mini,20.7 kmpl,1496 CC,113.98bhp,4000rpm,4,Blue,6 Speed,2WD,,,,,,3,3,4,,MPFi
751,2018,"36,200 kms",First Owner,Diesel,Automatic,Hyderabad,21.95 Lakh*,Skoda,19.5 kmpl,1968 CC,141bhp,3500-4000rpm,5,White,6 Speed,FWD,,,,,9.35 Seconds,4,4,4,DOHC,common rail system
752,2012,"49,000 kms",First Owner,Diesel,Automatic,Hyderabad,23 Lakh*,Jaguar,12.9 kmpl,2993 CC,270.88 bhp,,5,White,8 Speed,AWD,,,,,,,,,,
753,2019,"79,086 kms",First Owner,Diesel,Manual,Hyderabad,23 Lakh*,Toyota,13.68 kmpl,2393 CC,147.51bhp,3400rpm,7,Red,6 Speed,RWD,,,,,,5,4,4,DOHC,CRDi
754,2016,"1,28,005 kms",First Owner,Diesel,Automatic,Hyderabad,23 Lakh*,Ford,12.62 kmpl,2198 CC,158bhp,3200rpm,7,Red,6 Speed,FWD,,,,,,,4,4,DOHC,TDCi
