index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1134,2011,"70,000 kms",Second Owner,Diesel,Automatic,Bangalore,16.75 Lakh*,BMW,18.48 kmpl,1995 CC,177 ," 4,000 (PS",5,Silver,6 Speed,,,Ventilated discs,Ventilated discs,226km/hr,8.3 seconds,4,4,4,,CRDi
1135,2017,"70,071 kms",First Owner,Diesel,Manual,Bangalore,16.75 Lakh*,Toyota,13.68 kmpl,2393 CC,147.51 bhp,,7,Bronze,5 Speed,RWD,,,,,,,,,,
1136,2014,"80,000 kms",First Owner,Diesel,Automatic,Bangalore,16.75 Lakh*,BMW,18.88 kmpl,1995 CC,184 bhp,,5,Grey,8 Speed,RWD,,,,,,,,,,
1137,2014,"30,500 kms",First Owner,Petrol,Automatic,Bangalore,16.75 Lakh*,Skoda,13.7 kmpl,1798 CC,157.75 bhp,,5,White,7 Speed,FWD,,,,,,,,,,
1138,2012,"32,090 kms",First Owner,Petrol,Automatic,Bangalore,16.75 Lakh*,Audi,12.3 kmpl,1781 CC,163.2,"5,700 (PS",5,White,7 Speed,FWD,,Ventilated Disc,Drum,228 kmph,8.6 seconds,4,4,5,DOHC,MPFI
1139,2019,"28,000 kms",First Owner,Petrol,Automatic,Bangalore,16.75 Lakh*,MG,13.96 kmpl,1451 CC,141 bhp,,5,Maroon,6 Speed,FWD,,,,,,,,,,
1140,2013,"1,20,000 kms",Third Owner,Diesel,Automatic,Bangalore,16.75 Lakh*,Toyota,12.55 kmpl,2982 CC,168.5bhp,3600rpm,7,White,5 Speed,FWD,,Ventilated Disc,Drum,176 Kmph,9.6 Seconds,5,4,4,DOHC,CRDi
1141,2017,"19,070 kms",First Owner,Diesel,Automatic,Bangalore,16.95 Lakh*,Hyundai,18.23 kmpl,1582 CC,126.2 bhp,,5,Silver,6 Speed,FWD,,,,,,,,,,
1142,2017,"72,657 kms",Second Owner,Diesel,Manual,Bangalore,17 Lakh*,Toyota,13.68 kmpl,2393 CC,147.51bhp,3400rpm,7,Brown,5 Speed,RWD,,,,,,5,4,4,DOHC,CRDi
1143,2020,"10,080 kms",First Owner,Diesel,Manual,Bangalore,17 Lakh*,Mahindra,15.2 kmpl,2184 CC,130bhp,3750rpm,4,Grey,6 Speed,4X4,,,,,,,4,4,DOHC,Direct Engine
1144,2017,"40,167 kms",First Owner,Diesel,Manual,Bangalore,17 Lakh*,Toyota,13.68 kmpl,2393 CC,147.51 bhp,,7,Bronze,5 Speed,RWD,,,,,,,,,,
1145,2019,"30,000 kms",First Owner,Diesel,Automatic,Bangalore,17.25 Lakh*,Hyundai,17.6 kmpl,1582 CC,126.2bhp,4000rpm,5,Silver,6 Speed,FWD,,Disc,Drum,,,5,4,4,DOHC,CRDi
