index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1830,2011,"1,58,000 kms",First Owner,Diesel,Manual,Mumbai,9.75 Lakh*,Toyota,11.5 kmpl,2982 CC,171 PS , 3600 rpm,7,White,5 Speed,4WD,,,Leading-Trailing Drum,176 Kmph,9.6 Seconds,5,4,4,DOHC,Common-Rail type
1831,2016,"44,000 kms",Second Owner,Petrol,Automatic,Mumbai,9.75 Lakh*,Hyundai,13.0 kmpl,1591 CC,121.3bhp,6400rpm,5,Silver,6 Speed,FWD,,,,,,5,4,4,DOHC,MPFi
1832,2008,"64,000 kms",Second Owner,Petrol,Automatic,Mumbai,9.75 Lakh*,Mercedes-Benz,10.13 kmpl,3498 CC,364.9 bhp,,5,Grey,7 Speed,,,,,,,,,,,
1833,2010,"59,000 kms",First Owner,Petrol,Automatic,Mumbai,9.75 Lakh*,Audi,9.74 kmpl,1984 CC,208bhp,4300-6000rpm,5,White,7 Speed S tronic,Permanent all-wheel drive quattro,,,,,7.2 Seconds,4,4,4,DOHC,
1834,2011,"71,000 kms",First Owner,Diesel,Automatic,Mumbai,9.75 Lakh*,Audi,17.11 kmpl,1968 CC,174.33 bhp,,5,White,8 Speed,,,,,,,,,,,
1835,2018,"43,000 kms",First Owner,Diesel,Automatic,Mumbai,9.75 Lakh*,Renault,19.87 kmpl,1461 CC,108.45bhp,4000rpm,5,Orange,5 speed,FWD,,,,,,5,4,4,DOHC,CRDi
1836,2012,"60,000 kms",First Owner,Petrol,Automatic,Mumbai,9.75 Lakh*,Audi,15.64 kmpl,1798 CC,167.62 bhp,,5,White,8 Speed,,,,,,,,,,,
1837,2010,"67,000 kms",First Owner,Petrol,Automatic,Mumbai,9.75 Lakh*,Mercedes-Benz,10.93 kmpl,3498 CC,272bhp,6300rpm,5,Black,7 Speed,,,,Ventilated Disc,250km/hr,6.6 Seconds,4,6,4,,
1838,2018,"81,399 kms",First Owner,Diesel,Manual,Mumbai,9.75 Lakh*,Hyundai,22.1 kmpl,1396 CC,88.7 bhp,,5,Maroon,6 Speed,,,,,,,,,,,
1839,2011,"1,25,586 kms",First Owner,Diesel,Manual,Mumbai,9.75 Lakh*,Toyota,11.5 kmpl,2982 CC,171 PS , 3600 rpm,7,White,5 Speed,4WD,,Ventilated Disc,Leading-Trailing Drum,176 Kmph,9.6 Seconds,5,4,4,DOHC,Common-Rail type
1840,2011,"9,500 kms",Second Owner,Petrol,Automatic,Mumbai,9.76 Lakh*,BMW,12.05 kmpl,1995 CC,154bhp,6400rpm,5,White,6 Speed,,,,,,9.8 seconds,4,4,4,,
1841,2019,"21,000 kms",First Owner,Diesel,Manual,Mumbai,9.78 Lakh*,Maruti,24.3 kmpl,1248 CC,88.5bhp,4000rpm,5,Silver,5 Speed,,,,,,,5,4,4,DOHC,CRDi
1842,2013,"90,000 kms",Second Owner,Diesel,Automatic,Mumbai,9.8 Lakh*,BMW,20.68 kmpl,1995 CC,190 bhp,,5,Black,8 Speed,AWD,,,,,,,,,,
1843,2015,"79,000 kms",First Owner,Diesel,Automatic,Mumbai,9.8 Lakh*,Hyundai,17.01 kmpl,1582 CC,126.2bhp,4000rpm,5,Red,6 Speed,FWD,,,,,,5,4,4,DOHC,CRDi
1844,2018,"35,230 kms",First Owner,Diesel,Automatic,Mumbai,9.8 Lakh*,Maruti,24.3 kmpl,1248 CC,88.5bhp,4000rpm,5,Red,5 Speed,FWD,,,Drum,172 kmph,12.36 Seconds,5,4,4,DOHC,CRDi
